"","dec","condtn","order","race","age","int_corr","career_c.x","income","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","wave","age_o","race_o","income_o","goal","date","go_out","career_c.y","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"12",0,1,4,3,24,-0.16,1,36782,30,10,20,10,10,20,1,24,3,86340,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"13",1,1,8,3,24,0.35,1,36782,30,10,20,10,10,20,1,24,3,60304,1,3,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"14",1,1,10,3,24,-0.23,1,36782,30,10,20,10,10,20,1,24,3,41191,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"15",1,1,2,2,25,0.73,7,46138,50,0,30,10,0,10,1,25,2,65929,1,5,1,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"16",1,1,8,2,25,-0.3,7,46138,50,0,30,10,0,10,1,25,2,41191,6,3,1,5,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"17",1,1,9,2,25,0.28,7,46138,50,0,30,10,0,10,1,25,2,41191,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"18",1,1,10,2,25,0.42,7,46138,50,0,30,10,0,10,1,25,2,41191,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"19",0,1,1,2,30,0.34,2,38548,35,15,25,10,5,10,1,30,2,69487,2,7,1,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"20",1,1,5,2,27,0.17,7,52010,33.33,11.11,11.11,11.11,11.11,22.22,1,27,2,41191,1,5,1,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"21",1,1,8,2,28,0.28,7,46138,50,0,25,10,0,15,1,28,2,69487,2,7,1,5,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"22",1,1,7,2,28,-0.47,7,46138,50,0,25,10,0,15,1,28,2,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"23",1,1,2,2,28,-0.35,7,46138,50,0,25,10,0,15,1,28,2,41191,1,4,1,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"24",1,1,3,2,28,0.49,7,46138,50,0,25,10,0,15,1,28,2,48652,2,6,1,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"25",0,1,1,2,24,-0.47,7,46138,100,0,0,0,0,0,1,24,2,41191,6,3,1,5,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"26",0,1,8,2,24,-0.19,7,46138,100,0,0,0,0,0,1,24,2,37754,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"27",0,1,7,2,24,-0.16,7,46138,100,0,0,0,0,0,1,24,2,54620,1,5,1,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"28",0,2,10,4,25,0.29,6,42096,25,20,25,20,10,0,2,25,4,28418,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"29",0,2,6,4,25,0.22,6,42096,25,20,25,20,10,0,2,25,4,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"30",0,2,3,4,25,-0.29,6,42096,25,20,25,20,10,0,2,25,4,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"31",0,2,10,4,30,-0.3,1,46138,30,20,10,30,0,10,2,30,4,41191,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"32",0,2,12,4,30,-0.23,1,46138,30,20,10,30,0,10,2,30,4,28418,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"33",1,2,17,4,30,0.09,1,46138,30,20,10,30,0,10,2,30,4,23152,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"34",0,2,1,4,30,-0.44,1,46138,30,20,10,30,0,10,2,30,4,41191,1,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"35",1,2,5,4,30,0.41,1,46138,30,20,10,30,0,10,2,30,4,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"36",1,2,7,4,30,-0.2,1,46138,30,20,10,30,0,10,2,30,4,41191,1,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"37",1,2,19,4,23,0.04,5,28891,20,25,20,15,10,10,2,23,4,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"38",0,2,12,4,23,0.29,5,28891,20,25,20,15,10,10,2,23,4,41191,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"39",1,2,12,2,24,-0.35,2,46138,25,35,30,10,0,0,2,24,2,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"40",0,2,19,2,24,-0.32,2,46138,25,35,30,10,0,0,2,24,2,43185,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"41",1,2,3,2,24,-0.02,2,46138,25,35,30,10,0,0,2,24,2,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"42",0,2,10,2,24,0.21,2,46138,25,35,30,10,0,0,2,24,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"43",0,2,5,2,24,0.21,2,46138,25,35,30,10,0,0,2,24,2,41191,1,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"44",1,2,17,2,24,-0.48,2,46138,25,35,30,10,0,0,2,24,2,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"45",0,2,4,2,24,-0.61,2,46138,25,35,30,10,0,0,2,24,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"46",1,2,18,2,24,-0.4,2,46138,25,15,25,25,15,15,2,24,2,41191,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"47",1,2,4,2,24,0.54,2,46138,25,15,25,25,15,15,2,24,2,43185,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"48",1,2,12,2,24,-0.11,2,46138,25,15,25,25,15,15,2,24,2,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"49",1,2,8,2,24,-0.16,2,46138,25,15,25,25,15,15,2,24,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"50",1,2,10,2,24,-0.01,2,46138,25,15,25,25,15,15,2,24,2,24997,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"51",1,2,11,2,28,-0.06,7,46138,25,15,25,15,0,20,2,28,2,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"52",1,2,18,2,28,0.21,7,46138,25,15,25,15,0,20,2,28,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"53",1,2,16,2,28,-0.19,7,46138,25,15,25,15,0,20,2,28,2,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"54",1,2,4,2,28,-0.06,7,46138,25,15,25,15,0,20,2,28,2,41191,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"55",1,2,12,2,28,-0.19,7,46138,25,15,25,15,0,20,2,28,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"56",0,2,7,2,26,0.22,7,46138,20,35,20,10,10,5,2,26,2,41191,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"57",0,2,9,2,26,-0.33,7,46138,20,35,20,10,10,5,2,26,2,28418,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"58",0,2,12,2,26,0.24,7,46138,20,35,20,10,10,5,2,26,2,43185,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"59",1,2,10,2,26,-0.34,7,46138,20,35,20,10,10,5,2,26,2,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"60",1,2,1,2,26,-0.33,7,46138,20,35,20,10,10,5,2,26,2,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"61",1,2,13,2,30,0.21,2,46138,20,20,25,25,5,5,2,30,2,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"62",1,2,4,2,30,-0.05,2,46138,20,20,25,25,5,5,2,30,2,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"63",1,2,9,2,30,0.06,2,46138,20,20,25,25,5,5,2,30,2,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"64",1,2,16,2,30,0.16,2,46138,20,20,25,25,5,5,2,30,2,41191,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"65",0,2,17,2,22,0.58,6,46138,30,15,25,25,5,0,2,22,2,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"66",1,2,8,2,22,0.29,6,46138,30,15,25,25,5,0,2,22,2,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"67",1,2,3,2,22,0.52,6,46138,30,15,25,25,5,0,2,22,2,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"68",0,2,14,2,22,0.21,6,46138,30,15,25,25,5,0,2,22,2,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"69",0,2,12,2,22,0.45,6,46138,30,15,25,25,5,0,2,22,2,17134,1,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"70",0,2,4,4,25,0.28,7,62635,20,20,20,20,5,15,2,25,4,41191,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"71",1,2,9,4,25,-0.04,7,62635,20,20,20,20,5,15,2,25,4,43185,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"72",1,2,17,4,25,0,7,62635,20,20,20,20,5,15,2,25,4,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"73",1,2,16,4,25,0.18,7,62635,20,20,20,20,5,15,2,25,4,17134,1,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"74",1,2,5,4,25,0,7,62635,20,20,20,20,5,15,2,25,4,41191,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"75",1,2,13,4,25,-0.36,7,62635,20,20,20,20,5,15,2,25,4,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"76",0,2,6,1,27,0.27,1,12063,35,10,20,15,10,10,2,27,1,41191,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"77",0,2,8,1,27,0.12,1,12063,35,10,20,15,10,10,2,27,1,28418,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"78",1,2,13,1,27,0.35,1,12063,35,10,20,15,10,10,2,27,1,23152,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"79",1,2,5,1,27,-0.23,1,12063,35,10,20,15,10,10,2,27,1,48441,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"80",0,2,10,1,27,0.54,1,12063,35,10,20,15,10,10,2,27,1,61152,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"81",1,2,3,1,27,0.68,1,12063,35,10,20,15,10,10,2,27,1,41191,1,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"82",0,2,18,2,23,-0.52,1,29809,25,10,35,15,0,15,2,23,2,28418,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"83",0,2,12,2,23,0.21,1,29809,25,10,35,15,0,15,2,23,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"84",0,2,3,2,23,-0.47,1,29809,25,10,35,15,0,15,2,23,2,30038,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"85",0,2,6,2,23,-0.3,1,29809,25,10,35,15,0,15,2,23,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"86",0,2,15,2,21,-0.13,1,26482,15,20,15,30,5,15,2,21,2,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"87",1,2,5,2,21,0.28,1,26482,15,20,15,30,5,15,2,21,2,23152,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"88",1,2,16,2,21,-0.31,1,26482,15,20,15,30,5,15,2,21,2,48441,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"89",0,2,8,2,21,0.11,1,26482,15,20,15,30,5,15,2,21,2,41191,1,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"90",1,2,1,2,21,0.03,1,26482,15,20,15,30,5,15,2,21,2,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"91",1,2,11,2,21,0.17,1,26482,15,20,15,30,5,15,2,21,2,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"92",1,2,18,2,21,-0.15,1,26482,15,20,15,30,5,15,2,21,2,41191,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"93",1,2,4,2,21,-0.05,1,26482,15,20,15,30,5,15,2,21,2,30038,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"94",0,2,7,2,21,0.32,1,26482,15,20,15,30,5,15,2,21,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"95",0,2,9,2,21,0.01,1,26482,15,20,15,30,5,15,2,21,2,24997,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"96",1,2,1,2,28,0.08,4,46138,40,15,20,10,5,10,2,28,2,43664,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"97",0,2,7,2,28,-0.24,4,46138,40,15,20,10,5,10,2,28,2,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"98",0,2,18,2,28,0.46,4,46138,40,15,20,10,5,10,2,28,2,30038,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"99",0,2,2,2,28,0.22,4,46138,40,15,20,10,5,10,2,28,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"100",0,2,4,2,28,0.72,4,46138,40,15,20,10,5,10,2,28,2,24997,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"101",1,2,16,2,28,0.26,7,30147,40,20,20,20,0,0,2,28,2,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"102",0,2,8,2,28,-0.29,7,30147,40,20,20,20,0,0,2,28,2,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"103",0,2,3,2,28,0.11,7,30147,40,20,20,20,0,0,2,28,2,33772,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"104",1,2,8,1,23,0.53,1,39919,20,25,25,10,10,10,2,23,1,23152,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"105",0,2,5,1,23,0.52,1,39919,20,25,25,10,10,10,2,23,1,61152,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"106",1,2,4,1,23,-0.32,1,39919,20,25,25,10,10,10,2,23,1,36485,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"107",1,2,17,1,23,0.5,1,39919,20,25,25,10,10,10,2,23,1,41191,1,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"108",1,1,7,3,29,0.26,7,46138,20,25,15,15,53,20,3,29,3,41466,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"109",0,1,6,3,29,0.23,7,46138,20,25,15,15,53,20,3,29,3,41191,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"110",0,1,4,3,29,0.17,7,46138,20,25,15,15,53,20,3,29,3,50948,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"111",1,1,1,6,22,0.26,1,47559,20,15,20,20,5,10,3,22,6,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"112",0,1,9,1,27,0.28,6,53539,21,17,22,20,8,13,3,27,1,41191,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"113",1,1,6,1,27,0.17,6,53539,21,17,22,20,8,13,3,27,1,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"114",0,1,2,2,28,0.21,7,46138,50,10,30,10,0,0,3,28,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"115",1,1,7,2,28,0.31,7,46138,50,10,30,10,0,0,3,28,2,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"116",0,1,6,2,28,0.02,7,46138,50,10,30,10,0,0,3,28,2,50948,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"117",0,1,3,2,26,0.02,7,32159,25,10,20,20,15,10,3,26,2,41191,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"118",0,1,5,2,26,0.45,7,32159,25,10,20,20,15,10,3,26,2,41191,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"119",0,1,8,2,26,0.14,7,32159,25,10,20,20,15,10,3,26,2,23988,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7
"120",0,1,9,2,26,0.34,7,32159,25,10,20,20,15,10,3,26,2,38022,2,6,5,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5
"121",1,1,4,2,21,0.21,14,53940,60,15,0,15,0,10,3,21,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"122",0,1,5,2,21,0.21,14,53940,60,15,0,15,0,10,3,21,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"123",0,1,10,2,21,0.14,14,53940,60,15,0,15,0,10,3,21,2,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"124",0,1,10,2,22,0.44,7,46138,21,20,19,20,10,10,3,22,2,41191,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"125",0,1,2,2,22,0.61,7,46138,21,20,19,20,10,10,3,22,2,41191,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"126",1,1,9,2,22,0.33,7,46138,21,20,19,20,10,10,3,22,2,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"127",0,1,8,2,22,0.21,7,46138,21,20,19,20,10,10,3,22,2,50948,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"128",1,1,3,2,22,0.14,7,46138,30,10,20,30,0,10,3,22,2,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"129",0,1,10,2,25,-0.06,5,46138,30,0,30,30,10,0,3,25,2,41466,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"130",0,1,1,2,25,0.41,5,46138,30,0,30,30,10,0,3,25,2,41191,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"131",0,1,4,2,25,0.53,5,46138,30,0,30,30,10,0,3,25,2,23988,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7
"132",1,1,8,2,25,0.21,5,46138,30,0,30,30,10,0,3,25,2,28989,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"133",1,1,5,2,25,0.15,5,46138,30,0,30,30,10,0,3,25,2,38022,2,6,5,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5
"134",1,1,8,6,24,0.21,1,40753,20,20,20,20,10,10,3,24,6,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"135",1,2,14,4,28,0.56,7,46138,20,20,20,10,10,20,4,28,4,46166,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"136",0,2,1,4,28,0.27,7,46138,20,20,20,10,10,20,4,28,4,41191,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"137",0,2,17,4,28,0.65,7,46138,20,20,20,10,10,20,4,28,4,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"138",0,2,6,4,28,0.3,7,46138,20,20,20,10,10,20,4,28,4,25589,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"139",1,2,15,4,28,0.57,7,46138,20,20,20,10,10,20,4,28,4,40409,1,3,2,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2
"140",1,2,4,4,28,0.27,7,46138,20,20,20,10,10,20,4,28,4,41191,1,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6
"141",0,2,16,2,26,-0.2,7,76624,18,18,18,19,13,14,4,26,2,46166,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"142",0,2,3,2,26,-0.04,7,76624,18,18,18,19,13,14,4,26,2,41191,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"143",0,2,1,2,26,-0.03,7,76624,18,18,18,19,13,14,4,26,2,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"144",1,2,6,2,26,-0.57,7,76624,18,18,18,19,13,14,4,26,2,41191,1,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6
"145",1,2,18,3,26,0.56,2,46138,10,20,20,22,6,22,4,26,3,26645,1,3,2,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7
"146",0,2,6,3,26,0.32,2,46138,10,20,20,22,6,22,4,26,3,41191,2,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7
"147",1,2,14,3,26,0.71,2,46138,10,20,20,22,6,22,4,26,3,25589,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"148",1,2,15,3,26,0.64,2,46138,10,20,20,22,6,22,4,26,3,41191,1,7,3,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2
"149",0,2,16,3,26,0.13,2,46138,10,20,20,22,6,22,4,26,3,41191,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"150",0,2,5,2,29,0.08,2,35968,50,7,20,23,0,0,4,29,2,38207,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7
"151",1,2,10,2,29,-0.05,2,35968,50,7,20,23,0,0,4,29,2,46166,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"152",0,2,1,2,29,-0.04,2,35968,50,7,20,23,0,0,4,29,2,28317,5,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4
"153",1,2,12,2,29,0.04,2,35968,50,7,20,23,0,0,4,29,2,41191,2,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7
"154",0,2,2,2,29,0.01,2,35968,50,7,20,23,0,0,4,29,2,25589,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"155",0,2,4,2,29,0.38,2,35968,50,7,20,23,0,0,4,29,2,41191,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"156",1,2,14,2,39,0.24,2,51725,40,20,15,20,0,5,4,39,2,38207,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7
"157",1,2,1,2,39,0.16,2,51725,40,20,15,20,0,5,4,39,2,46166,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"158",1,2,7,2,39,0.29,2,51725,40,20,15,20,0,5,4,39,2,30973,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10
"159",1,2,6,2,39,0.13,2,51725,40,20,15,20,0,5,4,39,2,41191,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"160",1,2,10,2,39,0.22,2,51725,40,20,15,20,0,5,4,39,2,28317,5,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4
