"","dec","condtn","order","race","age","int_corr","career_c.x","income","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","wave","age_o","race_o","income_o","goal","date","go_out","career_c.y","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"18",1,2,13,2,29,0.14,2,35968,50,7,20,23,0,0,4,29,2,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"19",1,1,1,2,27,0.57,7,36381,55,10,15,15,5,0,16,27,2,31486,5,4,2,11,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4
"20",0,2,19,4,23,0.01,7,46138,25,15,20,20,10,10,21,23,4,41191,2,7,3,10,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3
"21",0,2,7,2,27,0.34,2,53196,20,20,15,25,10,10,11,27,2,41191,1,6,2,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2
"22",1,2,5,2,24,0.31,2,46138,25,15,25,25,15,15,2,24,2,30038,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"23",0,1,2,4,22,0.64,1,66699,40,10,10,10,10,20,5,22,4,42390,5,4,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5
"24",0,1,3,6,27,0.23,7,49841,25,15,20,20,15,5,10,27,6,44346,3,7,3,2,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4
"25",1,2,5,2,26,-0.23,7,76624,18,18,18,19,13,14,4,26,2,21597,5,6,1,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9
"26",0,2,14,2,27,0.12,9,69487,40,0,10,50,0,0,14,27,2,27503,2,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4
"27",0,2,6,2,26,0.15,7,55550,40,5,20,10,10,15,4,26,2,46166,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"28",0,2,6,2,29,-0.04,7,46138,30,20,20,20,10,0,21,29,2,41191,1,3,1,9,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6
"29",0,1,9,4,18,-0.31,4,30768,50,10,20,5,5,10,5,18,4,42390,5,4,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5
"30",1,2,10,2,28,0.49,4,46138,40,15,20,10,5,10,2,28,2,41191,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"31",0,2,5,2,30,0.62,7,46138,50,0,20,20,0,10,12,30,2,51663,2,6,2,2,7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4
"32",1,1,5,4,22,0.26,1,66699,40,10,10,10,10,20,5,22,4,41191,1,3,1,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6
"33",0,2,11,4,25,0.48,10,66827,30,10,15,20,15,10,14,25,4,25831,3,2,1,4,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7
"34",0,1,8,2,22,0.4,4,55080,25,40,15,10,5,5,5,22,2,27094,1,5,1,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1
"35",0,2,2,2,21,0.71,2,74893,19,24,21,23,5,8,4,21,2,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"36",1,2,14,2,21,0.52,2,74893,19,24,21,23,5,8,4,21,2,55223,2,7,1,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2
"37",1,2,7,2,30,0.12,2,46138,20,20,25,25,5,5,2,30,2,24997,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"38",1,2,11,2,27,0.52,2,26682,20,15,25,15,20,5,4,27,2,26645,1,3,2,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7
"39",0,2,2,2,27,-0.41,7,55080,20,20,20,20,10,10,15,27,2,33906,3,4,2,6,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8
"40",1,2,4,2,29,0.62,2,46138,30,25,18,18,4,5,11,29,2,37240,2,6,2,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8
"41",0,2,7,3,28,0.34,7,46138,30,20,25,15,10,0,17,28,3,29746,1,4,1,11,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6
"42",0,1,6,2,23,0.47,7,46138,50,5,15,20,10,0,13,23,2,41191,2,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1
"43",0,2,8,2,24,0.68,6,46138,30,15,15,15,15,10,15,24,2,78704,2,5,3,2,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8
"44",0,2,11,4,26,0.29,7,46138,25,20,10,20,15,10,14,26,4,49409,1,6,1,3,10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6
"45",1,1,3,6,22,-0.15,1,47559,20,15,20,20,5,10,3,22,6,41466,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"46",0,1,6,2,24,-0.06,7,46138,100,0,0,0,0,0,1,24,2,86340,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"47",1,2,3,2,23,-0.04,2,48137,23,14,19,16,10,18,21,23,2,41191,2,4,2,13,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2
"48",0,2,9,2,23,0.09,1,29809,25,10,35,15,0,15,2,23,2,17134,1,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"49",0,1,3,2,25,0.21,5,46138,30,0,30,30,10,0,3,25,2,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"50",0,2,2,4,28,0.69,7,46138,20,20,20,10,10,20,4,28,4,30973,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10
"51",1,2,5,2,34,0.54,1,35187,30,20,30,5,5,10,14,34,2,25831,3,2,1,4,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7
"52",0,1,5,1,27,0.41,6,53539,21,17,22,20,8,13,3,27,1,50948,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"53",0,2,5,3,27,0.2,9,27794,30,25,10,20,0,15,17,27,3,22669,2,6,3,6,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3
"54",0,2,3,2,32,0.22,2,46138,30,10,30,20,10,0,4,32,2,41191,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"55",0,2,12,2,27,0.54,2,46138,6.67,19.05,42.86,9.52,14.29,7.62,12,27,2,41191,2,4,1,2,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9
"56",0,2,14,4,27,0.43,7,46138,20,20,20,20,10,10,4,27,4,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"57",0,2,9,1,28,0.24,7,25786,20,18,20,17,10,15,11,28,1,41191,2,7,3,2,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3
"58",0,2,9,2,25,-0.07,2,43844,27,15,28,10,10,10,11,25,2,18283,1,6,2,10,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6
"59",0,2,17,2,32,-0.58,7,46138,50,0,10,30,0,10,21,32,2,41191,2,7,3,10,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3
"60",0,2,8,2,26,-0.27,7,41737,50,10,10,30,0,0,17,26,2,41191,1,7,2,1,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10
"61",1,2,12,4,27,-0.12,4,46138,20,20,15,15,12,18,11,27,4,41191,1,3,3,4,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2
"62",0,2,5,4,23,0.54,5,28891,20,25,20,15,10,10,2,23,4,41191,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"63",1,2,13,6,24,-0.13,7,46138,20,20,25,25,5,5,11,24,6,50060,2,4,1,11,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5
"64",0,1,8,1,27,0.44,6,53539,21,17,22,20,8,13,3,27,1,41466,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"65",1,2,8,2,27,-0.17,1,46138,30,20,15,15,8,12,14,27,2,35963,1,4,2,7,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7
"66",0,2,3,2,26,0.12,2,46138,25,25,25,13,12,0,21,26,2,71787,1,6,2,1,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3
"67",0,2,5,2,27,0,2,53196,20,20,15,25,10,10,11,27,2,50060,2,4,1,11,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5
"68",1,2,4,2,25,0.52,7,31857,25,20,15,25,10,5,12,25,2,32563,2,6,2,2,8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2
"69",1,2,10,2,30,0.63,7,46138,30,3,30,30,3,4,21,30,2,41191,1,3,2,6,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5
"70",1,2,18,4,29,0.14,7,46138,25,20,15,25,10,5,15,29,4,31809,2,7,2,7,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5
"71",1,2,15,2,25,0.42,3,31148,17,18,28,27,5,5,14,25,2,41191,1,2,1,2,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5
"72",0,1,7,2,30,0.6,2,38548,35,15,25,10,5,10,1,30,2,65929,1,5,1,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"73",0,2,5,2,26,0.43,2,80608,24,16,28,14,8,10,11,26,2,25401,2,4,1,11,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8
"74",0,2,7,2,26,-0.18,7,46138,70,5,20,3,1,1,15,26,2,52010,2,7,3,6,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1
"75",0,2,5,2,27,-0.05,7,46138,75,5,5,5,5,5,15,27,2,50501,2,7,2,6,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7
"76",1,2,8,2,23,0.23,2,78844,25,20,15,20,5,15,19,23,2,46185,1,4,3,7,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7
"77",0,1,1,4,19,0.3,10,17378,25,10,20,20,10,15,5,19,4,27094,1,5,1,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1
"78",0,2,17,4,26,-0.23,7,46138,25,20,10,20,15,10,14,26,4,41191,1,6,1,10,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10
"79",0,2,2,3,26,-0.06,2,46138,10,20,20,22,6,22,4,26,3,109031,1,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3
"80",1,2,17,2,26,0.34,2,80608,24,16,28,14,8,10,11,26,2,41191,1,6,2,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2
"81",0,2,3,2,30,0.37,7,46138,25,20,20,20,0,15,21,30,2,32508,2,6,3,2,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9,3
"82",0,2,19,4,23,-0.27,4,36673,15,25,20,10,10,20,21,23,4,41191,5,5,3,6,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9
"83",0,2,19,4,22,0.55,1,61686,20,5,25,25,5,20,21,22,4,46280,1,7,1,9,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2
"84",0,2,3,4,20,0.2,13,46138,30,10,10,30,10,10,19,20,4,41191,2,5,3,4,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4
"85",0,2,11,2,28,0.61,2,46138,40,20,20,20,0,0,19,28,2,41191,1,4,1,7,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6
"86",0,2,12,2,30,0.66,6,37994,25,25,25,25,0,0,19,30,2,41191,2,3,1,9,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9
"87",0,2,12,2,27,0.43,2,46138,20,20,20,15,5,20,11,27,2,41191,2,7,3,2,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3
"88",1,2,13,4,29,0.31,7,57513,50,20,10,10,5,5,12,29,4,39729,1,7,2,12,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9
"89",0,2,5,2,28,0.08,1,55419,30,30,20,10,10,0,4,28,2,109031,1,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3
"90",0,2,11,2,26,0.3,8,46138,10,10,30,30,5,15,15,26,2,41191,2,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2
"91",0,2,17,2,29,0.46,7,42897,25,15,20,20,10,10,14,29,2,31516,1,7,2,3,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6
"92",0,2,18,2,25,0.48,2,46138,25,20,30,15,5,5,11,25,2,37240,2,6,2,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8
"93",1,2,1,2,26,0.6,7,46138,70,5,20,3,1,1,15,26,2,33906,3,4,2,6,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8
"94",0,2,22,4,24,-0.3,5,47624,20,16,16,17,16,15,21,24,4,72412,2,7,4,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5
"95",1,2,15,4,27,-0.16,7,46138,50,10,10,10,10,10,11,27,4,36594,1,7,3,4,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1
"96",0,2,14,3,29,0.23,7,46138,30,10,25,20,8,7,19,29,3,41191,2,6,4,2,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7
"97",1,2,14,2,30,0.05,7,46138,35,10,20,25,5,5,21,30,2,32386,1,4,3,11,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6
"98",0,2,18,3,22,0.44,1,23361,10,20,35,10,5,20,4,22,3,25589,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"99",0,1,6,2,27,-0.24,2,46138,35,20,20,20,0,5,1,27,2,41191,6,3,1,5,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"100",0,2,1,2,26,-0.01,8,46138,10,10,30,30,5,15,15,26,2,65693,1,7,1,6,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4
"101",1,1,6,2,25,0.48,2,34870,30,30,40,0,0,0,20,25,2,25314,1,5,3,2,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5
"102",1,2,9,6,32,-0.18,6,35409,20,20,20,15,15,10,19,32,6,18619,1,4,2,4,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1
"103",1,2,9,2,30,0.41,1,46138,20.51,14.53,24.79,17.09,5.98,17.09,14,30,2,43367,1,5,3,7,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3
"104",1,2,2,2,28,-0.27,7,46138,20,20,20,20,0,20,21,28,2,41191,1,3,1,9,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6
"105",1,2,4,2,27,-0.23,1,46138,30,20,15,15,8,12,14,27,2,41191,2,7,3,4,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7
"106",1,2,5,3,27,0.11,7,46138,25,25,25,15,10,0,14,27,3,27503,2,6,3,9,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4
"107",0,2,13,4,28,0.34,7,53229,20,30,10,20,0,20,11,28,4,41191,2,5,1,2,8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4
"108",0,2,12,4,24,-0.48,5,47624,20,16,16,17,16,15,21,24,4,41191,5,5,3,6,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9
"109",0,2,7,3,28,0.26,7,46138,23,18,21,18,10,10,11,28,3,46608,2,5,1,2,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10
"110",0,2,17,2,27,-0.19,9,69487,40,0,10,50,0,0,14,27,2,43367,1,5,3,7,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3
"111",0,2,15,2,29,-0.27,2,35968,50,7,20,23,0,0,4,29,2,41191,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"112",1,2,4,2,29,-0.34,7,55080,95,1,1,1,1,1,15,29,2,49409,5,4,3,6,4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7,7
"113",0,2,6,4,20,0.11,13,46138,30,10,10,30,10,10,19,20,4,82734,1,6,2,9,1,1,6,10,6,5,2,0,5,4,4,9,8,3,5,6,9
"114",0,1,8,6,33,0.47,7,46138,22,22,15,15,5,21,10,33,6,42225,2,7,1,2,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2
"115",0,1,1,4,18,-0.33,4,30768,50,10,20,5,5,10,5,18,4,41191,1,3,1,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8
"116",0,2,22,2,29,-0.01,7,46138,30,20,20,20,10,0,21,29,2,41191,2,7,3,10,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3
"117",0,1,10,2,28,0.12,7,46138,50,10,30,10,0,0,3,28,2,41191,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"118",1,1,4,2,26,0.4,7,31632,30,25,20,10,10,5,16,26,2,29236,4,2,1,11,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7
"119",0,2,19,2,34,0.47,1,35187,30,20,30,5,5,10,14,34,2,41191,1,6,3,2,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4
"120",1,2,10,2,30,-0.18,2,46138,20,20,25,25,5,5,2,30,2,41507,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"121",1,2,1,2,29,0.01,7,46138,45,10,10,30,0,5,15,29,2,41191,2,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2
"122",0,2,17,2,26,0.18,8,46138,10,10,30,30,5,15,15,26,2,45736,2,4,2,6,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2
"123",1,1,6,2,26,0.71,7,31632,30,25,20,10,10,5,16,26,2,41191,1,5,3,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8
"124",1,2,8,1,30,0.65,9,55080,30,25,20,15,5,5,15,30,1,41191,2,7,2,3,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2
"125",0,2,12,1,27,0.02,1,12063,35,10,20,15,10,10,2,27,1,30038,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"126",0,2,9,2,26,0.1,7,55550,40,5,20,10,10,15,4,26,2,41191,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"127",0,2,15,4,29,0.69,7,46138,15,20,20,20,5,20,19,29,4,41191,2,5,3,4,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4
"128",0,2,4,2,36,0.8,2,23207,20,16,16,16,16,16,12,36,2,16908,4,5,1,2,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1
"129",0,2,19,2,23,0.62,2,48137,23,14,19,16,10,18,21,23,2,41191,1,5,3,11,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10
"130",1,2,2,2,28,-0.27,7,46138,25,15,25,15,0,20,2,28,2,48441,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"131",1,1,9,4,22,0.83,1,66699,40,10,10,10,10,20,5,22,4,43636,5,7,1,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4
"132",0,2,17,4,28,-0.3,7,53229,20,30,10,20,0,20,11,28,4,25401,2,4,1,11,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8
"133",0,2,13,6,32,0.42,2,46138,20,10,30,20,10,10,12,32,6,39394,2,6,1,2,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8
"134",1,2,1,2,30,0.04,2,46138,20,20,25,25,5,5,2,30,2,43185,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"135",1,2,4,4,29,0.3,7,46138,35,30,25,5,0,5,17,29,4,47556,1,4,1,11,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3
"136",1,2,7,2,30,-0.2,7,46138,40,10,20,10,0,20,21,30,2,41191,2,7,3,7,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8
"137",0,2,14,4,24,-0.24,5,47624,20,16,16,17,16,15,21,24,4,41191,2,4,1,5,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4
"138",1,1,1,2,22,-0.42,6,46138,25,25,25,15,5,5,5,22,2,41191,1,1,1,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8
"139",1,2,5,3,26,0.28,2,46138,10,20,20,22,6,22,4,26,3,40409,1,3,2,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2
"140",0,2,7,2,21,0.03,1,46138,35,5,30,20,5,5,17,21,2,60000,4,6,3,11,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5
"141",0,1,6,6,22,0.21,1,47559,20,15,20,20,5,10,3,22,6,41191,2,6,2,5,8,1,7,10,8,8,8,1,7,9,6,9,8,8,10,7,7
"142",0,1,2,4,27,0.35,7,35224,60,10,10,10,10,0,16,27,4,41191,1,5,3,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8
"143",0,2,18,2,32,0.68,2,46138,25,15,20,25,10,5,11,32,2,41191,2,6,6,2,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3
"144",0,2,21,1,28,0.21,7,25786,20,18,20,17,10,15,11,28,1,41191,2,6,2,2,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2
"145",0,2,9,1,27,0.37,7,55138,40,20,20,20,0,0,21,27,1,41191,1,3,2,6,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5
"146",1,1,2,2,26,0.47,7,31632,30,25,20,10,10,5,16,26,2,62844,6,4,1,3,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3
"147",0,2,21,3,28,0.38,7,46138,23,18,21,18,10,10,11,28,3,41191,2,6,6,2,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3
"148",1,2,3,3,29,0.23,7,46138,30,10,25,20,8,7,19,29,3,18619,1,4,2,4,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1
"149",0,2,11,2,26,0.1,7,46138,20,35,20,10,10,5,2,26,2,61152,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"150",1,1,4,4,33,-0.28,2,46138,30,30,10,10,0,20,18,33,4,41191,2,6,1,7,1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8
"151",1,2,8,2,21,0.51,2,74893,19,24,21,23,5,8,4,21,2,28317,5,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4
"152",1,2,12,2,27,-0.2,1,46138,30,20,15,15,8,12,14,27,2,41191,2,5,4,2,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5
"153",1,2,1,4,26,0.3,7,46138,25,20,10,20,15,10,14,26,4,28759,3,4,3,9,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5
"154",0,2,12,4,25,0.42,2,46138,15,30,20,20,10,5,21,25,4,41191,2,4,1,5,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4
"155",0,2,6,4,25,0.31,10,66827,30,10,15,20,15,10,14,25,4,41191,2,7,3,4,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7
"156",1,1,9,2,22,-0.24,6,46138,25,25,25,15,5,5,5,22,2,41191,1,3,1,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6
"157",1,1,1,4,24,0.05,2,12416,20,20,20,20,20,0,20,24,4,25314,1,5,3,2,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5
"158",0,2,18,2,28,0.79,6,52804,20,20,15,15,5,25,4,28,2,30973,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10
"159",1,2,9,2,27,0.19,6,46138,19,13,18,18,10,22,12,27,2,16908,4,5,1,2,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1
"160",1,2,10,4,29,-0.03,7,46138,15,20,20,20,5,20,19,29,4,46185,1,4,3,7,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7
