"","iso2","year","m5_14","m15_24","m25_34","m35_44","m45_54","m55_64","m65","f5_14","f15_24","f25_34","f35_44","f45_54","f55_64","f65"
"101","AI",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","AI",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","AI",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","AI",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","AI",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","AI",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","AI",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","AI",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","AI",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","AI",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","AI",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","AI",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","AI",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","AI",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"115","AI",2004,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0
"116","AI",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","AI",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","AI",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","AL",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","AL",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","AL",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","AL",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","AL",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","AL",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","AL",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","AL",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","AL",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","AL",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","AL",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","AL",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","AL",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","AL",1995,NA,0,0,0,19,40,30,NA,1,0,0,13,20,16
"133","AL",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","AL",1997,NA,23,43,33,25,21,19,NA,16,19,14,9,10,8
"135","AL",1998,NA,17,21,24,18,26,24,NA,19,11,12,13,11,13
"136","AL",1999,NA,13,23,25,19,15,15,NA,5,13,11,5,8,16
"137","AL",2000,NA,19,21,14,24,19,16,NA,11,10,8,8,5,11
"138","AL",2001,NA,13,18,17,19,20,30,NA,12,10,5,7,7,9
"139","AL",2002,NA,21,27,29,19,23,25,NA,20,19,9,6,8,17
"140","AL",2003,NA,28,19,32,16,22,19,NA,13,8,6,14,12,20
"141","AL",2004,NA,12,19,21,24,23,20,NA,12,12,8,11,10,22
"142","AL",2005,0,26,21,16,31,20,37,0,3,9,5,5,5,18
"143","AL",2006,4,24,19,22,21,19,20,2,12,8,7,7,7,13
"144","AL",2007,0,19,13,16,24,16,19,2,13,9,7,7,11,9
"145","AL",2008,0,23,26,13,19,13,16,1,20,10,8,5,5,10
"146","AM",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","AM",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","AM",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","AM",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","AM",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","AM",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","AM",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","AM",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","AM",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","AM",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","AM",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","AM",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","AM",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","AM",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","AM",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","AM",1995,NA,18,16,11,10,8,1,NA,1,7,2,1,1,NA
"162","AM",1996,NA,53,100,51,43,30,7,NA,9,11,9,8,4,0
"163","AM",1997,NA,85,59,77,51,34,12,NA,16,22,17,7,14,1
"164","AM",1998,NA,159,90,79,39,17,15,NA,21,20,11,10,5,6
"165","AM",1999,NA,151,88,115,76,37,20,NA,22,15,20,6,9,7
"166","AM",2000,NA,152,130,131,63,26,21,NA,24,27,24,8,8,4
"167","AM",2001,NA,154,120,93,54,24,9,NA,40,31,22,10,7,5
"168","AM",2002,NA,95,63,109,93,21,14,NA,16,24,32,36,4,1
"169","AM",2003,NA,120,98,75,104,49,18,NA,29,31,13,12,9,3
"170","AM",2004,NA,130,72,76,62,25,24,NA,24,17,12,10,3,3
"171","AM",2005,2,170,104,83,84,30,24,3,27,21,10,11,4,7
"172","AM",2006,0,113,116,96,98,38,17,3,28,29,16,15,7,4
"173","AM",2007,1,81,87,100,92,29,20,2,31,22,11,7,7,7
"174","AM",2008,0,53,103,74,87,37,15,4,44,25,10,14,10,11
"175","AN",1996,NA,0,0,0,1,1,1,NA,0,0,1,0,0,0
"176","AN",1997,NA,0,1,1,0,1,3,NA,0,2,2,1,1,1
"177","AN",1998,NA,0,0,0,0,1,2,NA,1,0,2,1,0,0
"178","AN",1999,NA,0,1,0,1,0,0,NA,1,1,0,0,0,0
"179","AN",2000,NA,0,1,2,0,0,0,NA,0,1,0,0,1,0
"180","AN",2001,NA,0,1,5,0,0,0,NA,0,1,0,0,1,0
"181","AN",2002,NA,1,1,3,2,3,1,NA,1,0,0,1,0,1
"182","AN",2003,NA,0,2,1,0,0,3,NA,0,1,1,0,1,0
"183","AN",2004,NA,1,0,4,3,0,1,NA,0,NA,1,0,0,0
"184","AN",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","AN",2006,0,0,0,2,1,1,0,1,0,0,0,0,0,0
"186","AN",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","AN",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","AO",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","AO",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","AO",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","AO",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","AO",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","AO",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","AO",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","AO",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","AO",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","AO",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","AO",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","AO",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","AO",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","AO",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","AO",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","AO",1995,NA,724,562,346,224,155,14,NA,707,443,264,248,130,18
"204","AO",1996,NA,1036,926,1027,469,272,169,NA,1066,963,615,370,242,113
"205","AO",1997,NA,913,1026,819,507,304,193,NA,1165,1007,627,411,234,145
"206","AO",1998,NA,915,950,839,470,219,135,NA,1084,970,623,319,169,92
"207","AO",1999,NA,1134,1237,973,518,314,234,NA,1197,1157,743,474,217,194
"208","AO",2000,NA,999,1003,912,482,312,194,NA,1142,1091,844,417,200,120
"209","AO",2001,NA,892,752,648,420,197,173,NA,993,869,647,323,200,182
"210","AO",2002,NA,2223,2292,1915,1187,624,444,NA,2610,2208,1600,972,533,305
"211","AO",2003,NA,2355,2598,1908,1090,512,361,NA,3078,2641,1747,1157,395,129
"212","AO",2004,NA,2684,2659,1998,1196,561,321,NA,3198,2772,1854,1029,505,269
"213","AO",2005,NA,2549,2797,1918,1255,665,461,NA,2926,2682,1797,1138,581,417
"214","AO",2006,NA,2632,3049,2182,1397,729,428,NA,2851,2892,1990,1223,583,314
"215","AO",2007,NA,2824,3197,2255,1357,699,465,NA,2943,2721,1812,1041,554,367
"216","AO",2008,NA,2970,3493,2418,1480,733,420,NA,3199,2786,2082,1209,556,337
"217","AR",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","AR",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","AR",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","AR",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","AR",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","AR",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","AR",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","AR",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","AR",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","AR",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","AR",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","AR",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","AR",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","AR",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","AR",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","AR",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","AR",1996,NA,611,535,338,276,230,286,NA,643,591,528,546,520,463
"234","AR",1997,NA,580,600,523,489,417,393,NA,566,511,336,240,199,234
"235","AR",1998,NA,578,571,463,476,387,370,NA,558,498,271,229,207,276
"236","AR",1999,NA,490,546,435,464,384,380,NA,502,442,292,210,177,249
"237","AR",2000,NA,278,594,402,419,368,330,NA,544,479,262,230,179,216
"238","AR",2001,NA,682,611,495,471,404,436,NA,674,561,303,242,215,249
"239","AR",2002,NA,612,658,463,477,389,399,NA,622,580,301,237,203,255
"240","AR",2003,NA,574,565,413,461,366,405,NA,516,513,294,241,192,231
"241","AR",2004,NA,588,543,399,387,332,345,NA,519,477,271,237,169,237
"242","AR",2005,NA,621,530,358,384,340,348,NA,530,474,290,198,169,240
"243","AR",2006,48,519,484,360,351,346,321,56,438,437,235,197,173,213
"244","AR",2007,63,656,623,401,415,389,324,56,558,500,246,217,172,246
"245","AR",2008,58,633,611,390,416,364,295,61,536,506,252,221,157,204
"246","AS",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","AS",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","AS",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","AS",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","AS",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","AS",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","AS",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","AS",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","AS",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","AS",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","AS",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","AS",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","AS",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","AS",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","AS",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","AS",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","AS",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","AS",1997,NA,0,0,1,1,1,1,NA,0,0,0,1,0,0
"264","AS",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","AS",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","AS",2000,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA
"267","AS",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"268","AS",2002,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"269","AS",2003,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"270","AS",2004,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"271","AS",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA
"272","AS",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA
"273","AS",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","AS",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","AT",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","AT",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","AT",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","AT",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","AT",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","AT",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","AT",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","AT",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","AT",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","AT",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","AT",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","AT",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","AT",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","AT",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","AT",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","AT",1995,NA,37,95,82,89,71,73,NA,22,52,32,21,18,59
"291","AT",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","AT",1997,NA,59,117,170,168,122,185,NA,41,93,62,52,52,172
"293","AT",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","AT",1999,NA,13,40,54,52,37,49,NA,10,16,18,6,2,26
"295","AT",2000,NA,17,30,59,42,23,41,NA,11,22,12,11,6,22
"296","AT",2001,NA,15,27,39,37,37,27,NA,8,13,15,4,6,18
